Author,Article
Faith Oneya,"If you have not felt the undue pressure to exponentially alter the course of your life in these Covid-19 times, then count yourself among the fortunate ones.
It has been said that Covid-19 has given us the gift of time. That this gift of time could deliver us from the yoke of procrastination by leading us to the path of unleashing our great potential and fulfilling ambitions we may have had before a virus forced us to keep social distance and stay at home.
The message here seems to be: stay at home but become great at something while at it.
Even a cursory glance at social media platforms reveals a flood of well-orchestrated and documented triumphs of people bettering themselves in dancing, parenting, knitting, gardening, interior design, cooking, and all manner of things.
Facebook Pages like “Let’s Cook Kenyan Meals” and “Home Beautiful” are swamped with such posts of great cooking, great gardening and great interior décor, among others.
Everyday conversations, too, are peppered with calls for people to come out of this period wiser, better-behaved, healthier, fitter, more knowledgeable, and perhaps closer to God or in better touch with their spirituality. There are forwards on WhatsApp specifically dedicated to preaching this gospel."
Faith Oneya,"If your achievement is sleeping for 11 hours, eating five meals a day, watching all the seasons of Selina and gaining four kilogrammes in a week, then you may have felt unworthy of this gift of time from Covid-19.
You shouldn’t, because with all your presumed shortcomings, you are enough. We all are. And there’s no greatness race to be won.
For many people, the decision to better themselves is couched in the belief that who they were before Covid-19 came calling was not good enough, and therefore, they need to use this period to manufacture a better version of themselves.
Such a view can only be described as anxiety-inducing because the more it infiltrates the mind the more mental pressure it exerts.
And while this may be up for debate, the only sure thing that such great expectations can cause to them and those around them is great frustration.
Life as we know it has already come to a shuddering halt. Some of the only guarantees we have are that lives and livelihoods will be lost. And that our physical and mental health will be compromised along the way."
Faith Oneya,"Just coming out of this stressful period alive and sane will be a great achievement, even if you are not wiser, fitter, healthier, kinder or more talented than you were before Covid-19.
The World Health Organisation has already warned that one of the main psychological effects of Covid-19 is elevated rates of stress or anxiety.
You must have already felt these emotions zig-zagging through your mind and body. Coupled with the fact that researchers have linked the increase in use of social media with a surge of mental afflictions such as depression and anxiety, one can easily conclude that most of us are sitting on a ticking time bomb as far as our mental health is concerned, especially if we follow the “make something out of yourself” crusade.
In fact, a 2015 research by Swansea University’s College of Human and Health Science found that too much time online could damage your immune system and make you more susceptible to flus and colds.
Perhaps it’s time to switch gears and start celebrating the mundane things in life: like sleeping, waking up, having a meal — anything that spells normalcy and plain old survival.
The couch potato who is whiling away his long days dressed in his pajamas and pondering over nothing in particular or filling his mind with watching mindless television and not making any effort to discover his super powers is probably doing himself a great favour.
Maybe our bulwark against mental stress and anxiety lies in cutting everybody around us some slack by lowering expectations of greatness and celebrating the mundane."
Faith Oneya,"South B’s Finest teems with lusty, quintessentially Kenyan phrases. Some call it ‘Kenglish’. Among other things, Kenglish demands that one starts a sentence with “Me I” and basically abandons the rather stringent English grammar rules that strip joy from everyday conversations.
Sample this sentence from the novel, for example: “Even me, I’m in the process of severing ties with some of those friends.” See? Kenglish through and through.
The novel does not suffer from the distractions of “proper” English and draws its strength and authenticity from this.
The author, Makena Maganjo, might have had the late rapper E-Sir in mind when she picked the title, for he is best known by his moniker “South C’s Finest”. Nevertheless, the debut novel by the trained economist who once dabbled in entrepreneurship is an original work of art.
The story is set in Malaba Estate, South B, where life in Kenya in the 1990s all through to the 2000s is seen through the eyes of three families who are as flawed as human beings can get. It is also through their lives that the history of Kenya is unravelled. The 283-page novel will take you through the multiparty era, the devastation of the 1998 bomb blast and the miracle-babies scandal, among many others that are all condensed and woven neatly into the lives of the three families.
The writer admitted during the book launch held at the Goethe Institute early this month that she grew up in South B, adding that for anyone who grew up in an estate, the story “practically wrote itself”, but was quick to clarify that the book was not based on her life."
Faith Oneya,"Women are said to have a stronger intuition than men. Where this intuition disappears to in matters religion is a mystery for the gods. You may have noticed that, since time immemorial, women have been the main target of abuse by some wolves in sheep’s clothing who masquerade as shepherds of their souls. It’s no coincidence that men don’t commonly feature as victims of religious cons. A 2016 Pew Research Centre report titled ‘The Gender Gap in Religion Around the World’ indicated that women, particularly Christians, are generally more religious than men. The report further said that in Kenya, women are 14 times more likely to attend religious services weekly than men. This means they remain more vulnerable to exploitation by religious leaders than men.
People like Pastor James Ng’ang’a of Neno Evangelism Centre rely on women to fill their pews and propagate their “miracles”. His latest scandal saw him penalised Sh1 million by the Communications Authority of Kenya for broadcasting indecent content during a watershed period. The story behind the penalty is that a female congregant’s breasts were exposed during a church service aired live on the pastor’s Sasa TV channel.
Truth be told, Ng’ang’a is not entirely to blame. He probably should not have been given a licence in the first place. Pick your metaphor to describe him, but one sure thing is that he has demonstrated time and again exactly who he is, so even in this instance, he was just pulling a Pastor Ng’ang’a."
Faith Oneya,"Four little words offered more gigantic insights about the HIV/Aids war than anything else so far in the studies conducted in recent times.
“Bring us the men,” said Dr Alberta Mirambeau from the Centers for Disease Control, citing the fact that since women have health-seeking tendencies and are mandatorily tested by hospitals when pregnant, they were easier to reach for testing than men.
She was speaking at the launch of a report titled Kenya Population-based HIV Impact Assessment 2018 by the National Aids and STI Control Programme (Nascop) last week. This poignant phrase pointed out what is perhaps the biggest impediment to the war against HIV/Aids: that while women are becoming more adaptive, men are becoming more rigid about finding out their HIV status.
The contrast is devastating because if testing is not done, then the right interventions can’t be made and that would be like going on reverse gear."
Faith Oneya,"The difference between the Kenya Certificate of Secondary Education (KCSE) examination giants and the dwarfs (forgive the derogatory term) is that the latter will most likely laugh last, despite missing out on the coveted ‘A’ grade. The lives of these two groups are entwined, despite the grand efforts by the school system to demonstrate that academic excellence begets success in life.
A Daily Nation analysis of the results published on December 23 showed that 697,222 students sat the examination and 72 per cent of them attained “below-average” grades. It was certainly not a merry Christmas for the 504,415 candidates.
According to the Nation article, these “failed” candidates will join a growing population of school leavers who seek low-paying, poorly funded artisan courses or completely fall off the education system.
What a pity, you might say."
Faith Oneya,"It’s like Wakanda for creatives and the tech community. That is the only way one could sum up the 2019 African Crossroads event held in Mombasa. But unlike Wakanda, which is a fictional country located in sub-Saharan Africa and the home of superhero Black Panther, there was nothing imaginary about the event.
he annual gathering reflects on revolutionary, entrepreneurial, scientific, artistic and technological developments anchored in African intellectual and technological traditions.
The “vibranium” of African Crossroads was the rich diversity of the people the gathering brought together – 170 participants with different backgrounds and from 30 different countries.
The inaugural African Crossroads was held in Marrakesh, Morocco in December last year. This year’s ‘Sense the City’ theme asked the participating artists, entrepreneurs, computer scientists, designers, researchers, philosophers and thought leaders to come up with innovations and solutions that would bring positive change and advances to African cities. Discussions at the gathering were split into four tracks: taste (the future of food); sound, which wrestled with the idea of what is the sound of African cities; touch (focusing on fashion); and move (urban transport)."
Faith Oneya,"A bile-inducing incident starring ‘honourable’ members was the subject of much debate over the past week.
It came to the attention of the public through a widely shared video clip showing the members engaged in unhealthy debate as usual.
The stars of this latest episode of Politicians Behaving Badly were Didmus Barasa, Gladys Wanga and Esther Passaris.
What was unusual, however, was that during what seemed like a vitriolic, highly-charged exchange with the two female politicians, a visibly agitated Mr Barasa asked the Speaker, Justin Muturi, to protect him from the women.
“Yes, you are protected,” came the swift response.
“Cry me a river!” you may be tempted to shout, seeing as everybody was shouting, but Mr Barasa was not done yet."
Faith Oneya,"Maryam Sheikh Abdi was only six when she was “led to the slaughterhouse for the cut”. This is how she describes her Female Genital Mutilation (FGM) ordeal in her heart-wrenching poem, ‘The Cut’.
In the second stanza, she lays bare the conflict of emotions she went through: ‘Deep within me was the desire to be cut / as pain was my destiny: it is the burden of femininity / so I was told. These painful thoughts and the desire to fit in – even if it meant undergoing unimaginable pain – is shared by girls and women across the world.
Now in her 40s, Ms Abdi told the Daily Nation in a past interview that her community (she’s a devout Muslim from Somalia but grew up in Garissa) practices infibulation, which she explained is cutting out the clitoris and labia of a girl or woman and stitching together the edges of the vulva to prevent sexual intercourse. According to the World Health Organisation, infibulation is the most severe form of FGM. The mother of two said she hoped to see the day the world would be free of FGM but if Dr Tatu Kamau has anything to do with it, people like Ms Abdi and 200 million girls and women who have undergone the cut across the globe will not see that day.
In what will go down in history as one of the most outrageous and despicable acts against women, Dr Kamau, a physician, filed a bizarre petition to overturn Kenya’s Prohibition of Female Genital Mutilation Act in 2017."
